"Age","Est Eligible Population","General Roll","Maori Roll","Total Enrolled","Difference","% Enrolled"
"18 - 24","5,660","4,233","204","4,437","1,223","78.39%"
"25 - 29","3,500","3,005","148","3,153","347","90.09%"
"30 - 34","3,210","3,286","128","3,414","-204","106.36%"
"35 - 39","3,320","3,684","128","3,812","-492","114.82%"
"40 - 44","3,980","4,160","124","4,284","-304","107.64%"
"45 - 49","5,010","5,032","144","5,176","-166","103.31%"
"50 - 54","4,920","4,985","131","5,116","-196","103.98%"
"55 - 59","4,650","4,917","113","5,030","-380","108.17%"
"60 - 64","4,110","4,342","70","4,412","-302","107.35%"
"65 - 69","4,330","4,576","71","4,647","-317","107.32%"
"70+","11,500","11,979","83","12,062","-562","104.89%"
"Total","54,190","54,199","1,344","55,543","-1,353","102.5%"
